11/2/2015 3:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 3:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 3:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 3:41, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 3:51, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 4:01, 	5.693,	    98.314,	  5.642,      98.287
11/2/2015 4:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 4:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 4:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 4:41, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 4:51, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 5:01, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 5:11, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 5:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 5:31, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 5:41, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 5:51, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 6:01, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 6:11, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 6:21, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 6:31, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 6:41, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 6:51, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:01, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:11, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:21, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:31, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:41, 	5.642,	    98.287,	  5.616,      98.273
11/2/2015 7:51, 	5.642,	    98.287,	  5.642,      98.287
11/2/2015 8:01, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 8:11, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 8:21, 	5.668,	    98.301,	  5.642,      98.287
11/2/2015 8:31, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 8:41, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 8:51, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 9:01, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 9:11, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 9:21, 	5.693,	    98.314,	  5.668,      98.301
11/2/2015 9:31, 	5.693,	    98.314,	  5.668,      98.301
